NC,Mw,R,SC,BD02,BD025,BD03,BD035,BD04,BD05,BD065,BD08,BD10
64,5.5,15,1,5.87,3.27,2.91,2.9,0.03,,,,
65,5.5,15,1,3.1,3.07,2.45,2.44,0.74,0.63,,,
66,5.2,17,1,3.5,2.98,2.36,,,,,,
67,5.2,17,1,4.41,1.03,0.93,0.91,0.88,0.37,0.33,0.02,
68,5.2,49,2,6.49,5.94,0.6,0.33,0.04,0.01,,,
69,5.2,49,2,5.43,1.96,0.75,,,,,,
70,5.2,13,1,6.17,5.2,4.3,2.98,2.96,2.05,0.09,0.04,
71,5.2,13,1,6.18,5.22,4.96,3.46,0.86,,,,
72,5.9,9,1,11.84,11.51,6.42,6.4,5.71,5.69,5.62,4.08,2.61
73,5.9,9,1,17.19,11.33,10.73,10.69,8.14,8.02,3.88,3.51,2.46
74,5.5,1,1,6.14,4.37,4.35,4.18,3.42,3.19,1.12,0.99,0.98
75,5.5,1,1,4.78,437,1.8,1.79,1.78,1.13,0.88,0.65,0.25
76,5.5,1,1,3.73,3.1,2.8,2.78,2.75,1.11,1,0.45,0.23
77,5.5,1,1,4.56,3.93,3.91,2.84,2.28,1.45,1.44,1.15,1.01
78,5.5,10,0,10.19,1.33,0.01,,,,,,
79,5.5,10,0,5.04,2.84,0.68,0.03,0.02,,,,
80,5.5,20,2,2.45,2.37,1.93,1.91,1.29,0.4,0.38,0.11,0.04
81,5.5,20,2,2.82,2.8,2.53,2.52,2.51,1.52,0.1,0.1,0.09
82,5,6,2,0.91,0.81,0.82,0.5,0.42,0.32,,,
83,5,6,2,0.94,0.85,0.83,0.01,,,,,
84,4.9,14,0,4.37,0.58,0.57,0.54,0.37,0.29,0.08,,
85,4.9,14,0,0.05,,,,,,,,
86,5.7,22,1,2.99,2.9,2.21,1.45,1.46,0.02,,,
87,5.7,22,1,3.51,3.5,1.58,1.57,1.27,,,,
88,4.6,21,0,1.46,0.55,0.54,0.52,0.48,0.38,0.02,,
89,4.6,21,0,2.85,2.23,0.94,0.93,0.66,0.01,,,
90,5.8,16,0,18.34,16.84,16.62,16.37,11.4,6.81,6.24,2.63,1.41
91,5.8,16,0,20,17.33,17.02,16.07,11.28,10.96,7.14,6.31,6.27
92,5.8,34,0,11.34,9.82,9.52,9.51,7.8,4.11,0.56,0.01,
93,4.7,34,0,13.92,7.69,7.66,7.63,7.35,1.76,1.09,1.07,0.34
94,4.7,20,0,4.03,4.02,0.19,0.19,0.18,0.04,,,
95,4.7,20,0,4.21,4.17,3.91,3.75,0.09,0.07,0.06,0.04,
96,6.1,31,1,11.61,11.27,7.31,6.69,5.85,3.61,3.46,1.55,0.01
97,6.1,31,1,12.04,6.36,6.34,6.31,6.06,4.08,0.41,0.34,
98,6.1,44,1,5.01,4.98,3.43,1.46,0.109,,,,
99,6.1,44,1,3.96,2.32,0.35,0.34,0.01,,,,
100,5.7,39,0,1.8,1.32,1.16,0.95,0.53,0.03,,,
101,5.7,39,0,1.93,1.02,0.7,0.06,0.04,,,,
102,5,65,0,0.68,0.67,0.66,0.64,0.27,,,,
103,5,65,0,0.84,0.02,,,,,,,
104,5.4,16,1,6.06,5.23,5.22,3.76,3.75,3.74,3.72,3.49,0.25
105,5.4,16,1,6.91,5.28,4.89,4.17,3.93,3.92,3.58,1.06,0.61
106,5,44,0,1.29,0.18,0.12,0.11,0.11,0.09,0.06,,
107,5,44,0,1.56,1.42,0.78,0.76,0.76,0.01,,,
108,4.8,11,0,1.32,0.29,0.27,0.16,0.14,,,,
109,4.8,11,0,0.62,0.61,0.59,0.49,0.47,0.41,0.4,0.38,0.34
110,5.3,6,0,2.47,2.14,1.65,1.47,1.46,1.08,1.03,1.01,
111,5.3,6,0,5.63,5.62,5.61,3.46,1.77,1.76,1.21,0.95,0.94
112,5.1,2,0,5.65,1.84,1.81,1.24,1.23,0.64,0.56,0.33,
113,5.1,2,0,5.03,4.49,2.52,2.51,2.5,1.39,0.28,0.19,0.02
114,5.4,12,0,7.31,7.23,4.55,4.53,4.52,4.5,2.48,0.65,0.41
115,5.4,12,0,8.1,7.35,5.12,4.93,4.91,4.88,2.11,1.61,1.57
116,5.2,21,0,0.03,,,,,,,,
117,5.2,21,0,0.1,0.09,0.07,0.05,0.02,,,,
118,4.9,14,0,0.03,,,,,,,,
119,4.9,14,0,0.51,0.31,,,,,,,
120,5.8,34,0,0.41,0.38,0.06,,,,,,
121,5.8,34,0,1.3,0.94,0.41,0.39,0.03,,,,
122,4.8,16,0,4.03,2.76,0.91,0.9,0.21,,,,
123,4.8,16,0,5.1,4.24,0.77,0.66,0.65,0.03,,,
124,5.6,5,0,12.3,9.39,9.38,9.37,6.59,6.58,6.44,2.71,2.24
125,5.6,5,0,13.14,7.81,7.81,6.35,5.1,4.61,4.23,4.22,2.45
126,5.6,5,1,12.67,9.85,9.24,7.22,7.22,6.31,4.59,2.63,1.66
127,5.6,5,1,11.92,10.03,10.01,6.91,6.76,6.75,5.89,5.88,1.6
128,5.5,15,0,14.69,10.7,8.63,8.61,8.58,7.56,3.59,0.6,0.55
129,5.5,15,0,16.52,9.1,9.07,4.19,3.89,3.31,3.28,3.22,0.37
130,5.5,12,0,8.18,4.92,4.38,4.37,4.34,1.88,,,
131,5.5,12,0,8.16,6.26,6.24,3.85,6.84,3.81,,,
132,5.7,65,0,3.1,1.56,1.53,1.51,1.49,0.03,,,
133,5.7,65,0,3.93,2.1,1.68,0.36,0.07,,,,
134,5.7,50,0,19.84,17.51,17.28,12.37,12.33,,,,
135,5.1,28,0,6.69,5.93,5.91,5.78,4.02,,,,
136,5.1,28,0,6.69,5.93,5.91,5.78,4.02,,,,
137,5.1,28,0,10.04,7.52,4.67,4.64,1.56,0.8,0.05,,
138,5.4,27,2,1.81,1.73,1.67,1.48,1.47,1.39,0.94,0.46,0.17
139,5.4,27,2,2,1.72,1.65,1.63,1.21,1.2,0.7,0.03,
140,5.4,27,0,0.7,0.02,,,,,,,
141,5.4,27,0,1.65,0.49,0.01,,,,,,
142,5.1,35,1,,,,,,,,,
143,5.4,35,1,0.79,0.08,0.01,,,,,,
144,5.4,59,1,,,,,,,,,
145,5.4,59,1,,,,,,,,,
146,5.4,31,1,0.63,0.28,0.03,,,,,,
147,5.4,31,1,0.43,0.01,,,,,,,
148,5.4,30,2,0.8,0.61,0.48,,,,,,
149,5.4,30,2,1.75,1.67,1.14,0.5,0.48,,,,
150,5.4,32,0,2.2,0.03,0.02,,,,,,
151,5.4,32,0,0.02,,,,,,,,
152,6.5,20,2,14.1,8.62,7.35,7.04,5.67,4.96,4.45,4.44,2.83
153,6.5,20,2,14.22,11.32,11.61,9.92,9.91,6.83,3.89,3.41,2.94
154,6.5,90,0,1.49,,,,,,,,
155,6.5,90,0,6.37,,,,,,,,
156,6.5,138,2,,,,,,,,,
157,6.5,138,2,,,,,,,,,
158,6.5,53,2,,,,,,,,,
159,6.5,53,2,,,,,,,,,
160,6.5,61,2,5.9,1.1,,,,,,,
161,6.5,61,2,0.1,,,,,,,,
162,6.5,72,2,2.34,,,,,,,,
163,6.5,72,2,0.06,,,,,,,,
164,4.9,8,1,2.75,1.75,1.69,0.58,0.23,0.01,,,
165,4.9,8,1,2.78,0.95,0.94,0.93,0.42,0.39,0.11,0.03,
166,5.2,9,1,5.49,3.94,3.89,3.88,6.88,2.24,2.23,2.04,1.13
167,5.2,9,1,5.43,4.58,4.48,4.4,4.39,2.1,1.83,0.46,0.08
168,5.2,27,1,1.23,0.01,,,,,,,
169,5.2,27,1,1.48,0.16,0.09,0.02,,,,,
170,5.2,28,2,,,,,,,,,
171,5.2,28,2,,,,,,,,,
172,5.2,22,1,2.91,0.81,0.3,0.03,0.03,,,,
173,5.2,22,1,2.14,0.19,,,,,,,
174,4.6,9,1,0.36,0.02,,,,,,,
175,4.6,9,1,0.81,0.58,0.35,0.34,0.18,,,,
176,4.7,20,1,,,,,,,,,
177,4.7,20,1,,,,,,,,,
178,5.1,12,1,3.16,2.87,2.85,2.55,2.53,1.93,1.58,0.16,
179,5.1,12,1,3.27,2.23,2.22,2.22,2.2,1.07,0.09,,
180,5.1,27,1,,,,,,,,,
181,5.1,27,1,,,,,,,,,
182,5.2,29,1,1.3,0.18,,,,,,,
183,5.2,29,1,0.92,,,,,,,,
184,5.2,30,2,,,,,,,,,
185,5.2,30,2,,,,,,,,,
186,5.2,22,1,,,,,,,,,
187,5.2,22,1,0.73,0.72,,,,,,,
188,5.2,14,1,7.21,4.26,4.24,3.19,2.87,1.6,1.49,1.17,0.31
189,5.2,14,1,6.36,4.57,4.55,4.47,2.13,2.14,1.58,0.92,0.04
190,4.8,15,1,0.46,0.29,0.01,,,,,,
191,4.8,15,1,3.18,,,,,,,,
192,4.8,21,1,,,,,,,,,
193,4.8,21,1,,,,,,,,,
194,4.5,19,1,,,,,,,,,
195,4.5,19,1,,,,,,,,,
196,5,33,1,,,,,,,,,
197,5,33,1,,,,,,,,,
198,5,8,1,11.17,10.68,9.68,9.66,6.93,5.56,3.61,2.5,2.37
199,5,8,1,11.18,10.02,9.25,8.46,6.67,5.93,4.74,4.37,4.35
200,5,19,1,1.19,,,,,,,,
201,5,19,1,0.18,,,,,,,,
202,5,19,1,1.15,1.13,0.01,,,,,,
203,5,19,1,1.2,,,,,,,,
204,4.5,6,1,3.1,1.34,0.69,0.04,0.03,0.01,,,
205,4.5,6,1,2.54,2.52,1.88,1.87,0.71,,,,
206,4.5,12,1,0.31,,,,,,,,
207,4.5,12,1,,,,,,,,,
208,4.7,22,1,,,,,,,,,
209,4.7,22,1,,,,,,,,,
210,4.7,5,1,3.34,3.27,2.37,2.09,1.21,0.88,,,
211,4.7,5,1,4.37,4.04,3.65,2.56,1.21,0.89,0.56,0.01,
212,4.7,13,2,0.01,,,,,,,,
213,4.7,13,2,1.55,,,,,,,,
214,4.7,12,1,2.61,1.57,1.47,1.46,0.25,0.14,0.12,,
215,4.7,12,1,1.9,1.56,1.54,0.68,,,,,
216,4.7,23,1,,,,,,,,,
217,4.7,23,1,,,,,,,,,
218,5,14,1,1.7,0.01,,,,,,,
219,5,14,1,1.02,1,0.38,0.36,,,,,
220,4.5,17,1,,,,,,,,,
221,4.5,17,1,0.01,,,,,,,,
222,4.7,5,0,0.46,0.13,0.03,0.02,,,,,
223,4.7,5,0,0.29,0.22,0.06,,,,,,
224,4.7,5,2,,,,,,,,,
225,4.8,4,0,0.71,0.11,0.01,,,,,,
226,4.8,4,0,,,,,,,,,
227,4.8,5,2,0.21,0.05,,,,,,,
228,6.3,9,0,5.09,5.08,5.06,4.92,3,2.99,2.89,1.35,1.14
229,6.3,9,0,6.26,6.18,4.37,4.36,4.19,3.72,3.13,2.9,2.74
230,6.3,9,2,4.64,4.48,4.3,4.09,2.42,2.34,2.22,2.11,1.98
231,6.3,9,2,4.27,2.44,2.42,2.29,2.26,1.95,0.86,0.82,0.74
232,4.5,3,0,,,,,,,,,
233,4.5,3,0,0.04,0.03,0.02,,,,,,
234,4.5,4,2,,,,,,,,,
235,4.5,6,2,,,,,,,,,
236,5.4,8,0,,,,,,,,,
237,5.4,8,0,,,,,,,,,
238,5.4,4,0,3.68,3.39,3.24,2.79,2.79,2.77,2.15,1.52,1.51
239,5.4,4,0,3.44,3.02,3,2.6,2.59,2.2,2.13,1.97,1.95
240,5.4,4,2,3.25,3.23,2.72,2.58,1.68,1.38,,,
241,4.5,1,0,0.01,,,,,,,,
242,4.5,1,0,0.54,0.04,0.03,0.03,0.01,,,,
243,4.5,2,2,,,,,,,,,
244,5.4,5,0,3.48,2.7,2.68,1.77,1.22,1.2,0.14,0.13,0.03
245,5.4,5,0,2.32,1.91,1.9,1.15,1.14,1.13,0.02,,
246,4.7,4,0,0.38,,,,,,,,
247,4.7,4,0,0.9,0.26,0.19,0.18,,,,,
248,4.7,3,0,0.88,0.53,0.35,,,,,,
249,4.7,3,0,1.19,0.64,0.51,0.41,,,,,
250,4.7,4,2,,,,,,,,,
251,5,10,0,,,,,,,,,
252,5,10,0,,,,,,,,,
253,5,4,0,1.49,1.47,0.99,0.8,0.45,0.43,0.01,,
254,5,4,0,1.64,1.49,1.44,1.21,0.85,0.09,0.03,0.02,
255,5,4,2,0.37,0.23,0.12,0.11,0.11,0.03,,,
256,5,4,2,0.54,0.19,0.18,0.1,,,,,
257,5.4,11,0,,,,,,,,,
258,5.4,11,0,,,,,,,,,
259,5.4,1,0,2.66,2.04,1.64,1.28,1.12,1.11,0.58,0.48,0.46
260,5.4,1,0,2.68,2.59,2.43,2.42,2.08,1.6,0.79,0.78,0.38
261,5.4,1,2,2.95,1.81,1.48,1.47,1.38,0.92,0.03,,
262,5.4,1,2,2.95,1.81,1.48,1.47,1.38,0.92,0.03,,
263,6.4,78,2,21.07,19.78,16.28,11.39,10.12,8.9,7.69,7.62,6.64
264,6.47,8,2,26.82,19.83,13.97,10.09,8.73,5.14,3.46,0.54,0.36
265,6.4,132,2,,,,,,,,,
266,6.4,132,2,,,,,,,,,
267,6.4,104,1,7.47,3.33,3.3,,,,,,
268,6.4,104,1,6.38,1.09,,,,,,,
269,6.4,86,2,0.01,,,,,,,,
270,6.4,86,2,,,,,,,,,
271,6.4,105,2,0.04,,,,,,,,
272,6.4,105,2,0.06,,,,,,,,
273,6.6,51,0,30.45,25.17,20.01,17.17,17.14,16.35,0.72,0.6,0.5
274,6.6,51,0,30.89,30.84,28.5,21.83,20.54,20.51,4.8,0.94,0.89
275,6.6,116,2,9.34,6.49,6.41,5.01,4.3,4.04,0.05,,
276,6.6,116,2,11.79,7.92,7.41,5.99,4.34,3.37,0.02,,
277,6.6,82,2,15.3,14.61,14.58,9.92,6.66,5.25,1.89,1.4,
278,6.6,82,2,12.62,11.92,9.71,9.59,5.6,4.94,2.48,,
279,6.6,65,0,12.78,11.86,7.23,6.44,3.23,1.16,,,
280,6.6,65,0,13.3,9.31,7.65,7.64,6.7,,,,
281,6.6,117,1,10.47,5.9,4.15,2.79,,,,,
282,6.6,117,1,7.01,4.53,0.02,,,,,,
